ID,ITEM_LEXICAL,IMAGEM,ARQUIVO_SONORO,TRANSCRICAO_FONEMICA,TRANSCRICAO_FONETICA,CLASSE_GRAMATICAL,TRADUCAO_SIGNIFICADO,DESCRICAO,ARQUIVO_SONORO_EXEMPLO,TRANSCRICAO_EXEMPLO,TRADUCAO_EXEMPLO,ARQUIVO_VIDEO,CAMPO_SEMANTICO,SUB_CAMPO_SEMANTICO_1,SUB_CAMPO_SEMANTICO_2,ITENS_RELACIONADOS,TEXTO
1,dog|dogg,dog.jpg,dog.mp3|,dɔg|dug,dɔɡ|dug,Substantivo,cachorro,Animal doméstico de quatro patas que é conhecido por sua lealdade e amizade com os humanos.,dog_ex.mp3,My dog loves to play fetch.,Meu cachorro adora brincar de buscar a bolinha.,,Animais,Mamíferos,,,TESTE01
2,,cat.jpg,cat.mp3,kæt,kæt,Substantivo,gato,Um animal de estimação peludo que caça ratos e é conhecido por sua independência e agilidade.,cat_ex.mp3,The cat is grooming itself.,O gato está se limpando.,,Animais,Mamíferos,,,
3,elephant,elephant.jpg,elephant.mp3,'ɛl.ɪ.fənt,'ɛl.ɪ.fənt,Substantivo,elefante,"Um mamífero de grande porte com tromba e presas, geralmente encontrado em regiões selvagens.",elephant_ex.mp3,I saw an elephant at the zoo.,Eu vi um elefante no zoológico.,,Animais,Mamíferos,,,
4,lion,lion.jpg,lion.mp3,laɪən,laɪən,Substantivo,leão,"Um majestoso felino da savana, conhecido por sua juba e por ser o ""rei"" dos animais.",lion_ex.mp3,The lion roared loudly.,O leão rugiu alto.,,Animais,Mamíferos,,,
5,snake,snake.jpg,snake.mp3,sneɪk,sneɪk,Substantivo,cobra,"Um réptil sem pernas que pode ser venenoso ou não, muitas vezes associado a lendas e mitos.",snake_ex.mp3,"Be careful, there's a snake in the garden.","Cuidado, tem uma cobra no jardim.",,Animais,Repteis,,,
6,monkey,monkey.jpg,monkey.mp3,'mʌŋ.ki,'mʌŋ.ki,Substantivo,macaco,"Um animal de aparência semelhante ao humano, que vive em árvores e é conhecido por sua inteligência.",monkey_ex.mp3,The monkey is swinging from the tree branches.,O macaco está balançando nos galhos das árvores.,,Animais,Mamíferos,,,
7,tiger,tiger.jpg,tiger.mp3,'taɪ.gər,'taɪ.gər,Substantivo,tigre,"Um grande felino listrado e poderoso, que é um predador feroz e encontrado em várias regiões do mundo.",tiger_ex.mp3,The tiger is a powerful predator.,O tigre é um predador poderoso.,,Animais,Mamíferos,,,
8,bear,bear.jpg,bear.mp3,bɛr,bɛr,Substantivo,urso,"Um mamífero robusto com pelagem densa, encontrado em ambientes selvagens e frequentemente associado a hibernação.",bear_ex.mp3,Bears hibernate during the winter months.,Os ursos hibernam durante os meses de inverno.,,Animais,Mamíferos,,,
9,dolphin,dolphin.jpg,dolphin.mp3,'dɒl.fɪn,'dɒl.fɪn,Substantivo,golfinho,"Um mamífero marinho inteligente e sociável, frequentemente visto nadando em grupos.",dolphin_ex.mp3,I love watching dolphins play in the ocean.,Eu adoro assistir golfinhos brincando no oceano.,,Animais,Mamíferos,,,
10,owl,owl.jpg,owl.mp3,aʊl,aʊl,Substantivo,coruja,Um pássaro noturno conhecido por sua visão aguçada e chamado de símbolo de sabedoria em algumas culturas.,owl_ex.mp3,The owl hooted softly in the night.,A coruja piou suavemente durante a noite.,,Animais,Aves,RAPINA,,
